# numbers only; every value's source is in country_labour_participation_sources.md
code,alpha_low,alpha_high,B_low,B_high,u_low,u_high,ltu_share,f_find,delta_low,delta_high,rr,part_low,part_high,ratio,work_share,e_ref,effort_target,htm_target
FR,0.765000,0.911000,0.800000,0.940000,0.077179,0.044864,0.245450,0.754550,0.063106,0.035443,0.680000,0.202862,0.291000,0.485714,0.644120,0.530000,0.518873,0.300000
DE,0.770000,0.920000,0.820000,0.940000,0.031557,0.020791,0.310930,0.689070,0.022453,0.014631,0.590000,0.252077,0.349000,0.573626,0.610492,0.502330,0.491784,0.320000
IT,0.700000,0.900000,0.850000,0.950000,0.079176,0.035931,0.560240,0.439760,0.037812,0.016390,0.596667,0.116249,0.165000,0.936508,0.726596,0.597864,0.585312,0.410000
US,0.720000,0.930000,0.830000,0.950000,0.044846,0.022485,0.116290,0.883710,0.041491,0.020327,0.131667,0.173951,0.360156,0.856618,0.594218,0.488940,0.478675,0.310000
