sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.3	8.0	0.010620236412063302	0.3514226917903298	0.2440494488963201	0.45879661088207324	0.26287839049514117	1.141212099765747	1.0
0.31	8.0	0.010129479056401998	0.35493262245292523	0.2497391256815831	0.4601261192242674	0.26368412611061015	1.1756490789664042	1.0
0.32	7.95	0.010366218117184299	0.34269671780007926	0.2433230995043374	0.442070467994638	0.2636230223651074	1.2138545303407255	1.0
0.33	7.95	0.006778601291711818	0.3459617295210828	0.24854109811767042	0.44338025372316037	0.26438598721808876	1.248175077175278	1.0
0.34	7.95	0.00671827081514946	0.3487581200548085	0.2533438934212573	0.44417303341926856	0.26507502222006973	1.2826557445979436	1.0
0.35	7.95	0.009492292104469212	0.35113925379847	0.2577537511115555	0.44452433080832854	0.2656984506274823	1.3172828037703206	1.0
0.36	7.95	0.013023507678857009	0.35315711417108087	0.2618081210445017	0.4445063646226161	0.2662661320969918	1.352030756464604	1.0
0.37	7.95	0.01659267615672228	0.35485677430974777	0.2655371715838814	0.4441764957959242	0.2667849006177353	1.386885086611994	1.0
0.38	7.95	0.02002076524065442	0.3562710087192636	0.2689631310813281	0.443578886357199	0.267260139435225	1.4218356721769931	1.0
0.39	7.95	0.02326828950156918	0.35743426625830915	0.27211208399000836	0.44275644852661	0.2676967214254127	1.4568725306882933	1.0
0.4	7.95	0.02633457163024674	0.35837549228846755	0.2750067447073914	0.4417433431651819	0.2680985743563723	1.491988538022946	1.0
0.41	7.9	0.028803709253611698	0.3494331436442742	0.26979241064052806	0.4290736016523792	0.2679417390540857	1.5301833952687713	1.0
0.42	7.9	0.031295994645391206	0.35037788041251205	0.2725043018459484	0.4282515361629655	0.26831142010131287	1.5653452239990768	1.0
0.43	7.9	0.03378598294824427	0.35113910310599056	0.2750023371629977	0.42727609672246347	0.26865057288499916	1.6005921572483282	1.0
0.44	7.9	0.03624049743621101	0.35173463485592255	0.2773019179968314	0.42616769150673167	0.26896200123237773	1.635918821186376	1.0
0.45	7.9	0.03864175438473417	0.3521805283524404	0.27941734584334815	0.4249439638916494	0.2692481070975763	1.671320942051855	1.0
0.46	7.9	0.040980987155153796	0.35249078699506403	0.2813614783878746	0.42362010270039413	0.26951095870631026	1.7067951604196854	1.0
0.47	7.9	0.04325471674907888	0.3526777792554566	0.2831460151777641	0.42220949444723116	0.26975237014231657	1.742338722555195	1.0
0.48	7.9	0.04546299498480446	0.35275280336030856	0.28478188614563693	0.4207236561514197	0.26997390796173865	1.7779495938104757	1.0
0.49	7.9	0.047607725231029296	0.35272576797905913	0.2862789546723755	0.41917252930334853	0.27017694390518837	1.8136262588415126	1.0
0.5	7.9	0.049691949429831336	0.35260550966682735	0.28764627905300877	0.4175647181051265	0.2703626898500448	1.8493676042257245	1.0
0.51	7.9	0.0517193578267188	0.3523998464650194	0.28889216307073373	0.4159076016436562	0.270532225416803	1.8851728263213534	1.0
0.52	7.95	0.05362356289585139	0.3586751798440329	0.29558695608468055	0.42176321667436717	0.2710715170606062	1.9183129442690148	1.0
0.53	7.95	0.05541895140936908	0.3581218200224493	0.2964579857393376	0.419785504532468	0.2712082473490596	1.954217857238912	1.0
0.54	7.95	0.057173252344137365	0.3575124659815683	0.2972359246512464	0.4177890048904387	0.27133210264257873	1.9901810170665026	1.0
0.55	7.95	0.05889087370998605	0.3568517344864979	0.29792631589263396	0.41577715308036184	0.27144363204528726	2.026203362575987	1.0
0.56	7.95	0.06057569823006692	0.35614365086434824	0.29853425314937204	0.4137530485793246	0.27154336784570315	2.062285683656263	1.0
0.57	7.95	0.06223147692993415	0.355391875174328	0.2990645902553134	0.41171916009334264	0.2716318011250696	2.098428820333707	1.0
0.58	7.95	0.06386140294515288	0.35459972263698025	0.2995217807365024	0.40967789664701304	0.27170939447439396	2.1346335893978794	1.0
0.59	7.95	0.06546870247961796	0.3537701429729893	0.29990988610146774	0.40763073904700187	0.27177651772436645	2.1709013160525266	1.0
0.6	8.0	0.06693056969973525	0.35815590503500916	0.3047749118157791	0.4115368982542393	0.27215484064834744	2.2046273311569085	1.0
0.61	8.0	0.0683468359374778	0.3571241431129246	0.3049247354113434	0.4093236749120766	0.27220528708957575	2.2409557379363636	1.0
0.62	8.0	0.0697586389032889	0.3560685709173298	0.30502076788484056	0.40711663722372105	0.27224634131542014	2.277349245555804	1.0
0.63	8.0	0.0711675508054329	0.35499144178963654	0.3050663422157243	0.40491654136354877	0.27227827413689937	2.3138092894008904	1.0
0.64	8.05	0.0725461079035008	0.35865034440156973	0.3092137626727181	0.4080873756239794	0.27259027245211326	2.3478460703781376	1.0
0.65	8.05	0.07379338318690826	0.35741860477526105	0.30906834828162716	0.4057688612688949	0.27260985290384965	2.3843598940983877	1.0
0.66	8.05	0.07505172969073128	0.35617405304125005	0.30888327551539707	0.40346483056710297	0.27262092090805146	2.4209440632863326	1.0
0.67	8.05	0.07632108216738731	0.35491815704751434	0.3086607499723835	0.4011755799227621	0.2726236570445076	2.457600368447182	1.0
0.68	8.1	0.0775114509590903	0.3579839958182414	0.31220823243195045	0.40375974862226754	0.2728892051455464	2.491853789662804	1.0
0.69	8.1	0.07865455399806033	0.35660831467312437	0.31183154286367376	0.4013851959611945	0.27288198122105395	2.5285656345372636	1.0
0.7	8.1	0.07981921608684035	0.35522766977240455	0.3114258205435385	0.3990296573753843	0.2728667418491121	2.5653547781469133	1.0
0.71	8.15	0.08092321449871193	0.3578963478699275	0.31457025547090417	0.4012224564658417	0.27309906673122897	2.5997891845553176	1.0
0.72	8.15	0.08198524836068694	0.3564174886338133	0.314033522068065	0.3988014746274646	0.2730750553900976	2.6366377513737165	1.0
0.73	8.15	0.083076598297107	0.35493829116135994	0.3134743815049682	0.39640220081775157	0.2730432431900346	2.67356918073204	1.0
0.74	8.2	0.08407041565433906	0.35726075784547273	0.3162624424795243	0.3982590732114212	0.2732492195431129	2.708150461462686	1.0
0.75	8.2	0.08508078134870793	0.3557012172772561	0.31559166558924356	0.3958107689652687	0.2732093229103438	2.745147903485415	1.0
0.76	8.25	0.08606101026627197	0.3577927795781364	0.3181460884527614	0.39743948138916635	0.27339385760057655	2.779872257080282	1.0
0.77	8.25	0.08700418355345567	0.3561640025447423	0.31737581637492235	0.3949524993881089	0.2733462677955829	2.8169398697473005	1.0
0.78	8.3	0.0879531739064513	0.35804403765801457	0.31971400949732287	0.39637428154303533	0.27351249244439896	2.851789302306045	1.0
0.79	8.3	0.08884323361865851	0.3563562422788583	0.31885552292960817	0.39385699400718077	0.27345734822695567	2.888933155836574	1.0
0.8	8.35	0.08975021304257395	0.35804225022623554	0.32099361444033736	0.39509091650843065	0.2736077948356421	2.923893306769878	1.0
0.81	8.35	0.09059866262615669	0.3563033710004495	0.32005552280600075	0.3925514021578762	0.27354515913583605	2.961119847848498	1.0
0.82	8.4	0.09145713277028972	0.35781073365250854	0.3220073159906294	0.39361424312480986	0.2736817410751566	2.9961808806778136	1.0
0.83	8.4	0.09227646075235824	0.3560282573744787	0.3209985175109329	0.3910580309097901	0.2736115489450044	3.033497683852625	1.0
0.84	8.45	0.09308510183882965	0.3573712894745353	0.3227783395819619	0.39196423971344974	0.2737359255352883	3.0686509209830133	1.0
0.85	8.45	0.09388597158552453	0.35555242490857103	0.32170723368335546	0.3893976213499951	0.2736581627824215	3.1060648487792886	1.0
0.86	8.5	0.0946449566684608	0.35674366202416863	0.3233272680077114	0.3901603844489281	0.2737716013024402	3.1413046346247695	1.0
0.87	8.55	0.0954163605632146	0.35783577603616	0.3248488209471796	0.39082284337730966	0.2738748871386389	3.1766329840953804	1.0
0.88	8.55	0.09614799084292874	0.3559446169517024	0.32367115993287904	0.3882181552778159	0.27378944303803393	3.214148764230304	1.0
0.89	8.6	0.09686645766834465	0.35690305317598187	0.3250492930183818	0.38875692497388564	0.2738836244155117	3.249555360965181	1.0
0.9	8.65	0.09758739677195237	0.3577728278984466	0.3263384568646056	0.38920740166552176	0.27396945539529305	3.285037737880113	1.0
0.91	8.65	0.0982754432456303	0.35582516878522796	0.3250718205540042	0.3865785170164518	0.27387585173585827	3.322673372742832	1.0
0.92	8.7	0.09894702451971911	0.3565766712557694	0.3262330581822009	0.3869204113718624	0.2739538357627146	3.3582300369645455	1.0
0.93	8.75	0.0996154487975616	0.35724842169694343	0.32731328920526115	0.38718365697206447	0.274024695775508	3.393854693891872	1.0
0.94	8.8	0.10027803109694158	0.35784322060351675	0.3283154659257673	0.38737116225324664	0.27408900869885816	3.42954284982941	1.0
0.95	8.8	0.10090642261098642	0.35582336730749353	0.3269369486775491	0.384709785937438	0.27398607571310285	3.467329489381668	1.0
0.96	8.85	0.10152536407200682	0.35631885761718707	0.32782968665312373	0.38480844053537216	0.2740437979278582	3.503089678580207	1.0
0.97	8.9	0.10213653549707814	0.3567448151490875	0.328650610536369	0.38483901976180607	0.2740956210512389	3.538910969390022	1.0
0.98	8.95	0.10273869634786541	0.357104379779076	0.3294033971828835	0.38480536645492863	0.27414212422967965	3.5747880875795066	1.0
0.99	9.0	0.10333019071720684	0.3573995760915354	0.3300894206602915	0.38470977858857264	0.27418353121644623	3.6107201464936756	1.0
1.0	9.05	0.10391074296095788	0.3576330564630077	0.330711513446533	0.38455464798881145	0.2742201539890306	3.6467049757400476	1.0
