u	r765	mi765	r911	mi911	r838	mi838
0.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
0.2	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
0.4	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
0.6	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
0.8	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
1.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
1.2	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
1.4	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
1.6	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
1.8	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
2.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
2.2	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
2.4	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
2.6	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
2.8	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
3.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
3.2	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
3.4	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
3.6	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
3.8	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
4.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
4.2	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
4.4	0.0	0.41575651936910374	0.2319902319902318	0.465226910223992	0.02173913043478256	0.4465644593095054
4.6	0.02173913043478256	0.41564416095945167	0.4783105022831051	0.45806067384148597	0.23170731707317072	0.4345378458325043
4.8	0.23170731707317072	0.4099583096811029	0.5	0.4572628755175243	0.5	0.4223389161015466
5.0	0.47811816192560114	0.3949822148465148	0.5	0.4567445018851838	0.5	0.4223389161015466
5.2	0.5	0.3940515257201141	0.5249406175771978	0.45546746154017853	0.5	0.4219401398616
5.4	0.5	0.40390779411652566	0.5681818181818183	0.4534239500862753	0.5453460620525061	0.41953173474368355
5.6	0.5238065405337676	0.4027399967055189	0.7790697674418605	0.44598594441118417	0.5681818181818183	0.41888566960091367
5.8	0.5454545454545459	0.4016657267837904	1.0	0.4377989233790037	0.7790697674418605	0.415456056323279
6.0	0.7790697674418605	0.39433179397408735	1.0	0.4377989233790037	1.0	0.41169918640624104
6.2	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
6.4	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
