alpha	u	rate	minc
0.6	0.0	0.0	0.35089488200668645
0.6	1.5	0.0	0.35089488200668645
0.6	3.0	0.0	0.35089488200668645
0.6	4.5	0.0	0.35089488200668645
0.6	6.0	0.522619047619048	0.332179506187952
0.6	7.5	1.0	0.32549411632425096
0.6	9.0	1.0	0.32549411632425096
0.6	10.5	1.0	0.32549411632425096
0.6	12.0	1.0	0.32549411632425096
0.6	13.5	1.0	0.32549411632425096
0.6	15.0	1.0	0.32549411632425096
0.6	16.5	1.0	0.32549411632425096
0.6	18.0	1.0	0.32549411632425096
0.6	19.5	1.0	0.32549411632425096
0.6	21.0	1.0	0.32549411632425096
0.6	22.5	1.0	0.32549411632425096
0.6	24.0	1.0	0.32549411632425096
0.6	25.5	1.0	0.32549411632425096
0.6	27.0	1.0	0.32549411632425096
0.6	28.5	1.0	0.32549411632425096
0.6	30.0	1.0	0.32549411632425096
0.6	31.5	1.0	0.32549411632425096
0.6	33.0	1.0	0.32549411632425096
0.6	34.5	1.0	0.32549411632425096
0.6	36.0	1.0	0.32549411632425096
0.6	37.5	1.0	0.32549411632425096
0.6	39.0	1.0	0.32549411632425096
0.6	40.5	1.0	0.32549411632425096
0.6	42.0	1.0	0.32549411632425096
0.6	43.5	1.0	0.32549411632425096
0.6	45.0	1.0	0.32549411632425096
0.6	46.5	1.0	0.32549411632425096
0.6	48.0	1.0	0.32549411632425096
0.6	49.5	1.0	0.32549411632425096
0.6	51.0	1.0	0.32549411632425096
0.6	52.5	1.0	0.32549411632425096
0.6	54.0	1.0	0.32549411632425096
0.6	55.5	1.0	0.32549411632425096
0.6	57.0	1.0	0.32549411632425096
0.6	58.5	1.0	0.32549411632425096
0.6	60.0	1.0	0.32549411632425096
0.66	0.0	0.0	0.3753170813183293
0.66	1.5	0.0	0.3753170813183293
0.66	3.0	0.0	0.3753170813183293
0.66	4.5	0.0	0.3753170813183293
0.66	6.0	0.522619047619048	0.3547159824573267
0.66	7.5	1.0	0.341942263573118
0.66	9.0	1.0	0.341942263573118
0.66	10.5	1.0	0.341942263573118
0.66	12.0	1.0	0.341942263573118
0.66	13.5	1.0	0.341942263573118
0.66	15.0	1.0	0.341942263573118
0.66	16.5	1.0	0.341942263573118
0.66	18.0	1.0	0.341942263573118
0.66	19.5	1.0	0.341942263573118
0.66	21.0	1.0	0.341942263573118
0.66	22.5	1.0	0.341942263573118
0.66	24.0	1.0	0.341942263573118
0.66	25.5	1.0	0.341942263573118
0.66	27.0	1.0	0.341942263573118
0.66	28.5	1.0	0.341942263573118
0.66	30.0	1.0	0.341942263573118
0.66	31.5	1.0	0.341942263573118
0.66	33.0	1.0	0.341942263573118
0.66	34.5	1.0	0.341942263573118
0.66	36.0	1.0	0.341942263573118
0.66	37.5	1.0	0.341942263573118
0.66	39.0	1.0	0.341942263573118
0.66	40.5	1.0	0.341942263573118
0.66	42.0	1.0	0.341942263573118
0.66	43.5	1.0	0.341942263573118
0.66	45.0	1.0	0.341942263573118
0.66	46.5	1.0	0.341942263573118
0.66	48.0	1.0	0.341942263573118
0.66	49.5	1.0	0.341942263573118
0.66	51.0	1.0	0.341942263573118
0.66	52.5	1.0	0.341942263573118
0.66	54.0	1.0	0.341942263573118
0.66	55.5	1.0	0.341942263573118
0.66	57.0	1.0	0.341942263573118
0.66	58.5	1.0	0.341942263573118
0.66	60.0	1.0	0.341942263573118
0.72	0.0	0.0	0.40209813510909326
0.72	1.5	0.0	0.40209813510909326
0.72	3.0	0.0	0.40209813510909326
0.72	4.5	0.0	0.40209813510909326
0.72	6.0	0.5465393794749405	0.37852313973624613
0.72	7.5	1.0	0.36568924302340833
0.72	9.0	1.0	0.36568924302340833
0.72	10.5	1.0	0.36568924302340833
0.72	12.0	1.0	0.36568924302340833
0.72	13.5	1.0	0.36568924302340833
0.72	15.0	1.0	0.36568924302340833
0.72	16.5	1.0	0.36568924302340833
