sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.3	14.5	0.3512459618243661	0.11814589754528255	0.10717788625805852	0.12910193281322493	0.6705064042365734	0.4474230195333848	2.0
0.31	14.35	0.3488335505301725	0.11981027862423575	0.10843451864577752	0.13118334349593075	0.6733199472173002	0.46040519262969926	2.0
0.32	14.2	0.3475624080845634	0.12078971749965661	0.10944005025401429	0.13212812637644936	0.6749631183651243	0.4740999786404545	2.0
0.33	14.05	0.34728592035142936	0.12115744256726503	0.11020101436239596	0.13209474038790067	0.6756357619920821	0.4884288525921269	2.0
0.34	13.9	0.3475764347053944	0.12116489416553372	0.11080506329694215	0.13151271994199676	0.6757677303697619	0.5031314528942676	2.0
0.35	13.8	0.33236724311640103	0.1308787594884197	0.11583266155639335	0.14591594979059572	0.6897527071286237	0.50742823679086	2.0
0.36	13.65	0.33797214005409226	0.1275616086641002	0.11493065859841144	0.1401912840701797	0.6854577759394773	0.5251964637888743	2.0
0.37	13.55	0.32042679161437276	0.13889798671027778	0.12117474246475851	0.15661052880980994	0.699712526423068	0.5287885896390062	2.0
0.38	13.4	0.3321724480340159	0.1316524428553443	0.11819687330638973	0.14509596423350002	0.6911813623020862	0.5497833430206385	2.0
0.39	13.3	0.32173505418839277	0.1385291670869841	0.12240323874149098	0.1546484948236304	0.699652122766153	0.5574198766925645	2.0
0.4	13.2	0.30444689258450375	0.14990497611335146	0.1293114532962034	0.17049653830607778	0.7112898391380653	0.5623586588622107	2.0
0.41	13.05	0.32448977549089686	0.13720424914171417	0.12301469495870125	0.1513893057814222	0.6984218076418468	0.5870377979523936	2.0
0.42	12.95	0.3190828851885764	0.1409166542895307	0.12570164851316523	0.15612280211298887	0.7027447714889016	0.5976565277179483	2.0
0.43	12.85	0.3147586168296303	0.14394707491507386	0.12806546921421808	0.15981909595813643	0.7060924204061728	0.6089854352956326	2.0
0.44	12.75	0.31165926669591876	0.1461949098770831	0.13002060777092764	0.16236056605920635	0.708498635493694	0.6210315418510305	2.0
0.45	12.65	0.30975044459738127	0.14766957626423816	0.13154116324493564	0.1637958037992588	0.7100824952405502	0.6337291836035985	2.0
