sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.3	8.1	0.013772977355841863	0.3553354915280753	0.24718847224802754	0.46348296024411634	0.26308526271972166	1.1403147287638287	1.0
0.31	8.05	0.011138661365163784	0.342364329030459	0.24043321100014828	0.4442950613289792	0.2630529219922867	1.178470087509957	1.0
0.32	8.05	0.005536406268623739	0.3460852985477235	0.2461170747207457	0.4460535223747012	0.2638848620221753	1.2126500836304475	1.0
0.33	8.05	0.003104822096959125	0.34925716829906905	0.25132299045999834	0.44719115388521924	0.2646300968732918	1.2470236904232708	1.0
0.34	8.05	0.006475929956811082	0.3519522660506623	0.25609442631677853	0.44781010578454566	0.2653025039411268	1.2815559406685786	1.0
0.35	8.05	0.010655935566036204	0.35423034506501305	0.2604654354766715	0.447994102926085	0.2659119444548293	1.3162251914541387	1.0
0.36	8.05	0.014641214057937705	0.35614562285795653	0.264477122976959	0.44781412273895405	0.2664680301852392	1.3510063468016809	1.0
0.37	8.05	0.018350814868572325	0.3577421440838269	0.2681553996691761	0.44732906960160046	0.2669763946369789	1.385890316269749	1.0
0.38	8.0	0.020946058581263794	0.34800353996501293	0.2626794669331321	0.4333276129968938	0.266852406784362	1.4240081421003268	1.0
0.39	8.0	0.02341103363593817	0.3495510943857213	0.26609910730875785	0.43300308146268485	0.267324186445317	1.4589027846149536	1.0
0.4	8.0	0.02605083718801352	0.3508476118090638	0.2692490621395596	0.43244666057572634	0.2677554288492485	1.4939006156443153	1.0
0.41	8.0	0.028737190890656232	0.3519190366153317	0.27214859440151973	0.43168973221596735	0.268150228347441	1.5289936634652606	1.0
0.42	8.0	0.03140034799205644	0.3527882674608197	0.27481589764606773	0.4307606372755714	0.2685122291860709	1.5641745676654175	1.0
0.43	8.0	0.03400494673032845	0.353476242810286	0.2772687613190562	0.4296837243015158	0.26884462588153657	1.5994368441996485	1.0
0.44	8.0	0.0365343769983888	0.354001126742577	0.2795231042545184	0.4284791492306359	0.26915008588875544	1.6347756254547876	1.0
0.45	8.0	0.03898195705334308	0.35437913378021807	0.2815934622707264	0.4271648052897097	0.269430904992684	1.6701870188656311	1.0
0.46	8.0	0.0413470742947918	0.35462425974964173	0.2834930404328877	0.4257554790663956	0.269689081691839	1.7056678643209602	1.0
0.47	8.0	0.0436320022558746	0.3547489694189418	0.28523377054813204	0.42426416828975155	0.26992633169874924	1.7412158237475792	1.0
0.48	8.0	0.04584085904010569	0.35476426075495676	0.286826606243492	0.4227019152664214	0.2701441660672578	1.7768290427582079	1.0
0.49	8.0	0.04797844464438053	0.35467999759675417	0.28828153324233613	0.4210784619511721	0.2703439032321082	1.8125061972612801	1.0
0.5	8.0	0.05004977874981934	0.35450485285984606	0.28960750912919514	0.41940219659049705	0.2705266892881546	1.8482464754796126	1.0
0.51	8.0	0.05206035405393444	0.35424675321581617	0.29081320394916543	0.4176803024824669	0.2706935903987657	1.88404904323263	1.0
0.52	8.0	0.054015068368002586	0.35391264482780116	0.2919061313202445	0.41591915833535775	0.27084550588162387	1.9199137098744108	1.0
0.53	8.0	0.05591871104469542	0.35350885465551357	0.292893357463808	0.4141243518472192	0.2709832552310462	1.9558404062572445	1.0
0.54	8.0	0.05777588819237869	0.3530409351816807	0.293781324740814	0.41230054562254737	0.27110757114198125	1.9918292865277363	1.0
0.55	8.05	0.05948780691914133	0.35848087323880146	0.2996814915802245	0.4172807615245538	0.27157574783598243	2.025217657992684	1.0
0.56	8.05	0.06112238253738479	0.35772962058799895	0.300252904400357	0.4152064482069597	0.2716748113591807	2.0612878948855706	1.0
0.57	8.05	0.06273050757391957	0.35693646787383687	0.30074792418010476	0.41312501156756903	0.2717626902784719	2.097418153374652	1.0
0.58	8.05	0.06431529339962787	0.3561047245623915	0.3011709072336301	0.411038541891153	0.2718397934924088	2.13360962553923	1.0
0.59	8.05	0.06587959944728217	0.3552374034410192	0.30152595944423843	0.4089488474377998	0.27190650683623147	2.169863483095516	1.0
0.6	8.05	0.0674258394886033	0.35433723419505986	0.30181682193511006	0.4068576681751207	0.2719631883877508	2.2061809304300093	1.0
0.61	8.1	0.06889176904850967	0.358487400280717	0.3064561336470648	0.4105186016425716	0.27231867778537616	2.240022627022162	1.0
0.62	8.1	0.07025435045920138	0.35739853471383576	0.3065218399281546	0.40827524272592647	0.2723600533634536	2.276398437815823	1.0
0.63	8.1	0.07161637900287394	0.35628942237962047	0.3065378364214016	0.4060411693254914	0.2723923279472675	2.3128404707564374	1.0
0.64	8.1	0.07297882365049196	0.35516117492048277	0.3065062976122789	0.4038161604934998	0.272415698370963	2.349350657202133	1.0
0.65	8.15	0.0743159523539456	0.35862291759423937	0.3104599332493181	0.4067859138039237	0.27271124565028515	2.383473400409516	1.0
0.66	8.15	0.07552722347273381	0.35735042455942734	0.31024798374174656	0.40445286023739235	0.2727230199754848	2.420037736672642	1.0
0.67	8.15	0.07675281549043071	0.3560671842662916	0.30999941599768244	0.40213493167616754	0.27272643904220667	2.4566741763394346	1.0
0.68	8.15	0.07799200603838014	0.3547744124616943	0.30971603137296205	0.39983279355042645	0.2727216911361529	2.4933843625240595	1.0
0.69	8.2	0.07912726454575994	0.357673243057649	0.31309602066892206	0.40225048513082423	0.2729748336943319	2.5277055421623187	1.0
0.7	8.2	0.08024997920463516	0.35626861827940864	0.31266661475126256	0.39987062180755467	0.27296046767302384	2.5644739180272866	1.0
0.71	8.2	0.08139574922822213	0.354860417709504	0.3122103489722485	0.39751056798578704	0.27293823621376695	2.6013211261610247	1.0
0.72	8.25	0.08243807870239332	0.35738142493285197	0.31520474047095376	0.3995581657722723	0.2731606327077884	2.6358117304927124	1.0
0.73	8.25	0.08349004790337594	0.35588112299676933	0.314623953603059	0.39713855166931494	0.2731297941810996	2.6727219642540025	1.0
0.74	8.3	0.08453218671643724	0.3581516307175453	0.31736657234775567	0.398936945634077	0.2733278535546932	2.707371350472063	1.0
0.75	8.3	0.08550516749469833	0.3565729552718601	0.3166758990617566	0.3964700256622249	0.2732889825310145	2.744347734233616	1.0
0.76	8.3	0.08651467611490567	0.35499806099839865	0.3159686605300733	0.39402746199130345	0.2732424263403827	2.781412865413716	1.0
0.77	8.35	0.0874306817129711	0.35696890437720913	0.3183977322206304	0.39554015853980296	0.2734199932554406	2.8161803050029093	1.0
0.78	8.35	0.08838036204433852	0.35532934072976363	0.3175961242476919	0.39306273292667665	0.27336572980113993	2.8533203506065354	1.0
0.79	8.4	0.08926522845157064	0.35709818909313523	0.31981787510386156	0.3943785533585049	0.2735259458501478	2.8882086397493145	1.0
0.8	8.4	0.09016833995885433	0.3554029736190256	0.31893228414045827	0.3918736743453136	0.27346410343604277	2.9254296631554144	1.0
0.81	8.45	0.09101276961358486	0.3569860851005908	0.32096152416088686	0.3930106472970666	0.27360923207817417	2.9604264221924033	1.0
0.82	8.45	0.09187977442820383	0.35524307594890797	0.31999998255492274	0.3904861747886415	0.2735397793016794	2.9977358397136267	1.0
0.83	8.5	0.09267907276926819	0.35665507373448163	0.3218504386380697	0.3914600563983165	0.27367163002362577	3.0328317185392835	1.0
0.84	8.55	0.09350211561595702	0.3579570966669991	0.32359257872031616	0.3923217720283133	0.27379142729367045	3.068028857963513	1.0
0.85	8.55	0.09427634511100301	0.35612651888380764	0.32250787863860936	0.38974523435596453	0.2737145811738199	3.1054246228125324	1.0
0.86	8.6	0.09504674027119414	0.35727890296523906	0.32409178679146533	0.39046606038377873	0.2738238076908543	3.140705723334823	1.0
0.87	8.6	0.09581432532098788	0.355418529116843	0.3229525462997332	0.3878846965305539	0.2737391945482245	3.1782076418973775	1.0
0.88	8.65	0.09653427242909293	0.35643262224429084	0.3243888894149457	0.38847635507363604	0.27383869932182886	3.2135706245295164	1.0
0.89	8.7	0.09725918805239178	0.35735494387593275	0.3257331633352384	0.3889767451552393	0.27392933459669006	3.2490131124888806	1.0
0.9	8.7	0.0979759101605647	0.3554331901440121	0.32449927180688953	0.38636716671376137	0.2738365968092642	3.2866315550469625	1.0
0.91	8.75	0.09865199190794452	0.35623419297326614	0.3257126442080436	0.38675594087638465	0.27391903771935766	3.322149521174705	1.0
0.92	8.8	0.09932672068953838	0.35695255103781004	0.3268421837134468	0.3870629183621733	0.273993916192429	3.35773878772503	1.0
0.93	8.85	0.0999968686198458	0.3575918542678987	0.32789157415114106	0.3872921343846564	0.2740619281718367	3.393393625315554	1.0
0.94	8.85	0.10064668126247325	0.35559283080309523	0.3265408138428856	0.3846451358702459	0.2739600840357314	3.4311567807717562	1.0
0.95	8.9	0.1012723554572602	0.35612969166029856	0.32747723450572874	0.3847821488148684	0.27402117585098146	3.466885349461569	1.0
0.96	8.95	0.10189162556323686	0.35659553514855885	0.32834127469541075	0.384849803998629	0.27407631706920227	3.502674037164645	1.0
0.97	9.0	0.10250186440638248	0.35699260557862644	0.3291343857205772	0.38485108440341215	0.2741258331860086	3.5385209366306047	1.0
0.98	9.05	0.1031027324896229	0.357324150210453	0.3298599589335113	0.3847883414873948	0.27417005735105504	3.5744238793559444	1.0
0.99	9.1	0.1036923739885093	0.35759239595369496	0.3305198238211905	0.38466496808619954	0.27420935040981775	3.6103801658127344	1.0
1.0	9.1	0.10426571319628426	0.355496476937194	0.3290183799159524	0.38197475039525386	0.2740948507976461	3.6483720766365737	1.0
