u	r_low	mi_low	pb_low	r_high	mi_high	pb_high
0.0	0.0	0.4536374998562748	0.0	0.0	0.5044275169473471	0.0
1.5	0.0	0.4536374998562748	0.0	0.0	0.5044275169473471	0.0
3.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
4.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
6.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
7.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
9.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
10.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
12.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
13.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
15.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
16.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
18.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
19.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
21.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
22.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
24.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
25.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
27.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
28.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
30.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
31.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
33.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
34.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
36.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
37.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
39.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
40.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
42.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
43.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
45.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
46.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
48.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
49.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
51.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
52.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
54.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
55.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
57.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
58.5	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
60.0	0.9999999999999998	0.38367943124649345	0.7649999999999997	1.0	0.4260583647845475	0.9109999999999999
