u	r	minc	pbase
0.0	1.4116415071749832e-33	0.42317800010972195	8.44293946052992e-34
0.2	4.689386312761179e-32	0.42317800010972195	2.8046925897576714e-32
0.4	1.5577853072852785e-30	0.42317800010972195	9.317016377786535e-31
0.6	5.174867033217802e-29	0.42317800010972195	3.0950555686893847e-29
0.8	1.7190590183547446e-27	0.42317800010972195	1.0281584345088102e-27
1.0	5.71060838784351e-26	0.4231780001097219	3.415479118196533e-26
1.2	1.8970290031410407e-24	0.423178000109722	1.1346011680006268e-24
1.4	6.301813737416904e-23	0.4231780001097219	3.7690753357786955e-23
1.6	2.0934245985302998e-21	0.42317799872769774	1.252064141469406e-21
1.8	6.954225712450508e-20	0.423177998827315	4.1592788482034894e-20
2.0	2.310152226945128e-18	0.4231779978901239	1.3816875773990427e-18
2.2	7.674182751114704e-17	0.4231779981411273	4.589880638896019e-17
2.4	2.5493165372054106e-15	0.423177997873751	1.524730254082647e-15
2.6	8.468670777234342e-14	0.42317799848265386	5.0650589529866105e-14
2.8	2.8132394047357297e-12	0.4231779990386175	1.6825808724072969e-12
3.0	9.345409420266498e-11	0.42317800075832035	5.5894308548616483e-11
3.2	3.104485557118735e-9	0.423178000214508	1.856773378320454e-9
3.4	1.0312779484613167e-7	0.42317799553951885	6.168009484355472e-8
3.6	3.424320327002762e-6	0.4231778543847681	2.0480718537027106e-6
3.8	0.00011210676524797241	0.42317318933305975	6.705827447263479e-5
4.0	0.003093167935316748	0.42309774970688907	0.0018538017391131858
4.2	0.016112044757618592	0.4226041249294247	0.010140835326265954
4.4	0.05214604373591853	0.42122901135167595	0.038625761569561726
4.6	0.11737598212223853	0.4185192373359947	0.09520899249283123
4.8	0.19806794579498413	0.4151006322891464	0.1670454389486272
5.0	0.28282083538347125	0.4113786592482811	0.24404302083528734
5.2	0.3803165420697734	0.40771850868980475	0.3329452362205237
5.4	0.47080587138529345	0.40415115648531147	0.41511395075428265
5.6	0.5286612104689447	0.4019404003081029	0.4685628087031842
5.8	0.5710344796474757	0.4001226212437066	0.5053847155682138
6.0	0.6034587613603691	0.39891358917475006	0.5294227755490558
6.2	0.8034007088880664	0.39421851139591146	0.6484839417849287
6.4	0.8771034848307181	0.3924931721351645	0.6921809407365329
6.6	0.9835394967257949	0.3899891097606088	0.7552468940991558
6.8	0.9994324296059516	0.38962747770470396	0.7646637058408658
7.0	0.9999828324825482	0.3896164460331841	0.764989827982921
7.2	0.999999483133021	0.3896161141280863	0.764999693748397
7.4	0.9999999844407341	0.38961610463022556	0.7649999907808966
7.6	0.9999999995316207	0.3896161046090476	0.764999999722478
7.8	0.9999999999859	0.38961610413297154	0.7649999999916455
8.0	0.9999999999995752	0.3896161030570635	0.7649999999997482
8.2	0.9999999999999871	0.389616102973071	0.7649999999999925
8.4	0.9999999999999994	0.3896161019569893	0.7649999999999995
8.6	0.9999999999999999	0.3896161031608501	0.765
8.8	0.9999999999999992	0.389616103059386	0.7649999999999999
9.0	0.9999999999999998	0.38961610379256134	0.7650000000000001
9.2	1.0000000000000007	0.38961610421018383	0.7649999999999998
9.4	0.9999999999999998	0.3896161042105712	0.7650000000000001
9.6	0.9999999999999999	0.38961610403927255	0.7649999999999999
9.8	1.0000000000000002	0.389616104393006	0.7649999999999999
10.0	1.0000000000000002	0.38961610425591814	0.7649999999999997
10.2	0.9999999999999998	0.38961610255601015	0.7649999999999995
10.4	1.0000000000000007	0.38961610320635276	0.7649999999999996
10.6	0.9999999999999999	0.3896161024033374	0.7649999999999998
10.8	0.9999999999999997	0.38961610274194386	0.7649999999999998
11.0	0.9999999999999998	0.38961610272912967	0.7649999999999999
11.2	0.9999999999999999	0.3896161028876497	0.7649999999999999
11.4	1.0000000000000002	0.3896161020310574	0.7650000000000003
11.6	0.9999999999999996	0.38961610123710855	0.7650000000000001
11.8	1.0000000000000009	0.38961610060921714	0.7650000000000005
12.0	0.9999999999999999	0.38961610260190677	0.7649999999999999
12.5	1.0	0.38961610208183384	0.7649999999999997
13.0	1.0000000000000004	0.389616101791879	0.7649999999999998
13.5	1.0000000000000004	0.38961610171544614	0.7649999999999997
14.0	1.0000000000000009	0.38961610147878467	0.7650000000000002
14.5	1.0000000000000002	0.3896161014659963	0.7649999999999997
15.0	0.9999999999999996	0.3896161012304936	0.7650000000000003
15.5	0.9999999999999991	0.38961610134719843	0.7650000000000002
16.0	0.9999999999999998	0.3896161016331038	0.765
17.0	0.9999999999999999	0.38961610182837575	0.7650000000000003
18.0	1.0	0.3896161024385755	0.7649999999999993
19.0	1.0000000000000002	0.38961610195750623	0.7650000000000001
20.0	1.0	0.3896161019762189	0.7650000000000001
21.0	0.9999999999999997	0.3896161018358617	0.7650000000000006
22.0	1.0	0.3896161020059926	0.7649999999999999
23.0	1.0	0.38961610233476357	0.7649999999999998
24.0	1.0000000000000004	0.3896161016066316	0.7649999999999997
25.0	1.0000000000000004	0.3896161022203192	0.7649999999999999
26.0	1.0000000000000004	0.3896161014877291	0.7649999999999997
27.0	1.0000000000000004	0.3896161011992266	0.765
28.0	1.0000000000000002	0.38961610162760923	0.7650000000000005
29.0	1.0	0.38961610075713504	0.7649999999999998
30.0	0.9999999999999999	0.3896161003112386	0.7649999999999999
