u	r	minc	pbase
0.0	5.619974054765776e-31	0.4201386905599288	3.3643016829490487e-31
0.2	1.8669208348245103e-29	0.4201386905599288	1.1176003386005851e-29
0.4	6.201796253040475e-28	0.42013869055992875	3.7125996255654774e-28
0.6	2.060198592610204e-26	0.42013869055992886	1.2333027741382825e-26
0.8	6.843853083554493e-25	0.4201386905599288	4.0969560041533194e-25
1.0	2.273485924963652e-23	0.4201386905599288	1.3609836004545339e-23
1.2	7.5523795265416e-22	0.4201386910312582	4.5211032837815e-22
1.4	2.5088540933252236e-20	0.42013869112873553	1.5018827428984338e-20
1.6	8.334259147752792e-19	0.4201386911118989	4.989162191164626e-19
1.8	2.7685896386604028e-17	0.42013869100010626	1.6573689999994464e-17
2.0	9.197084632261932e-16	0.42013869081437455	5.505677962499817e-16
2.2	3.0552148998627594e-14	0.42013869100425805	1.8289523275560383e-14
2.4	1.0149286092000512e-12	0.4201386901830685	6.075696963226429e-13
2.6	3.371517547216964e-11	0.4201386888415081	2.0183015055856e-11
2.8	1.1200006436046827e-9	0.42013868841497154	6.704692825248848e-10
3.0	3.7205825682197804e-8	0.4201386858943027	2.2272632899548545e-8
3.2	1.2359948462367299e-6	0.42013861879093173	7.399073549037491e-7
3.4	4.110158268705229e-5	0.4201363449162777	2.460490888338798e-5
3.6	0.0013154748300429218	0.4200678708388488	0.0007880215125878934
3.8	0.01306183861023726	0.41970276526806694	0.008061476394254113
4.0	0.045334757797032776	0.41845294363775	0.0331663161656535
4.2	0.1054085198448211	0.4152686741436698	0.08478349134940442
4.4	0.2025051619043357	0.4110959347130999	0.1716557827027788
4.6	0.3114730240206611	0.4064363809343968	0.2704837591081946
4.8	0.4093639326252032	0.4020125563759409	0.35998595231337455
5.0	0.49561382675676974	0.3979165171287439	0.4387196785253241
5.2	0.5556672313231571	0.3953135581267994	0.49246868215728207
5.4	0.6024013988491902	0.39361869047702835	0.5280873959323084
5.6	0.8111323041028687	0.385824033589109	0.6530292502014232
5.8	0.9153520064845767	0.38287956696048564	0.714842150852942
6.0	0.9928837442913144	0.38127986286017845	0.7607834285938937
6.2	0.9997692496109278	0.38116421541942946	0.7648632744321741
6.4	0.9999930372997448	0.3811605926295425	0.7649958744203721
6.6	0.9999997903875486	0.38116048357650134	0.7649998757992121
6.8	0.9999999936900422	0.38116048082674303	0.7649999962611878
7.0	0.9999999998100517	0.3811604807675381	0.764999999887451
7.2	0.9999999999942818	0.381160480313711	0.7649999999966118
7.4	0.9999999999998276	0.38116047913440576	0.7649999999998979
7.6	0.9999999999999946	0.38116048044537143	0.7649999999999969
7.8	0.9999999999999994	0.3811604788998413	0.7650000000000001
8.0	0.9999999999999998	0.3811604801007004	0.7650000000000003
8.2	0.9999999999999999	0.38116048020757476	0.7649999999999998
8.4	0.9999999999999998	0.3811604800664886	0.7649999999999998
8.6	1.0	0.3811604800969922	0.765
8.8	1.0000000000000004	0.3811604798404469	0.7649999999999995
9.0	0.9999999999999998	0.38116047957435806	0.7649999999999999
9.2	1.0000000000000002	0.38116047974870015	0.7649999999999997
9.4	1.0000000000000004	0.38116047959526894	0.7650000000000001
9.6	0.9999999999999997	0.3811604792282776	0.7650000000000002
9.8	1.0000000000000004	0.3811604797710561	0.7649999999999993
10.0	1.0000000000000007	0.38116047964517014	0.7650000000000001
10.2	1.0000000000000002	0.3811604784662356	0.7650000000000001
10.4	1.0000000000000004	0.38116047873831504	0.7650000000000003
10.6	0.9999999999999998	0.38116047825719024	0.7649999999999998
10.8	0.9999999999999993	0.38116047833566014	0.7649999999999998
11.0	0.9999999999999999	0.3811604781787721	0.7649999999999998
11.2	0.9999999999999997	0.3811604773089669	0.7650000000000002
11.4	1.0000000000000004	0.3811604778394856	0.7649999999999998
11.6	0.9999999999999996	0.38116047871005443	0.7649999999999995
11.8	1.0000000000000002	0.381160478183731	0.7650000000000001
12.0	1.0000000000000004	0.3811604786859913	0.7650000000000002
12.5	1.0000000000000002	0.3811604786430001	0.7649999999999997
13.0	1.0000000000000004	0.3811604782766073	0.7649999999999995
13.5	1.0000000000000004	0.38116047800767394	0.7649999999999998
14.0	1.0000000000000002	0.38116047819371135	0.7649999999999997
14.5	0.9999999999999999	0.38116047791232033	0.765
15.0	0.9999999999999998	0.3811604779991629	0.765
15.5	0.9999999999999998	0.38116047848812495	0.7649999999999998
16.0	0.9999999999999997	0.38116047808369574	0.7649999999999998
17.0	0.9999999999999998	0.38116047744002757	0.7649999999999995
18.0	1.0	0.3811604774297232	0.7649999999999999
19.0	1.0000000000000004	0.3811604783738521	0.765
20.0	1.0000000000000004	0.3811604789368116	0.765
21.0	1.0000000000000002	0.38116047850773443	0.7649999999999998
22.0	0.9999999999999997	0.38116047793442964	0.7650000000000001
23.0	1.0	0.38116047844571566	0.7650000000000003
24.0	1.0000000000000002	0.38116047811536474	0.765
25.0	1.0000000000000002	0.38116047715813645	0.7649999999999999
26.0	0.9999999999999992	0.38116047768045414	0.7649999999999998
27.0	0.9999999999999998	0.38116047751012544	0.7650000000000003
28.0	1.0000000000000007	0.38116047732413655	0.765
29.0	1.0000000000000002	0.3811604778592918	0.7649999999999999
30.0	1.0	0.38116047746604126	0.7650000000000001
