u	r	minc	pbase
0.0	9.07721905948684e-24	0.48348915477470644	6.773456538345588e-24
0.2	3.015396373591231e-22	0.4834891547747065	2.2501006253737317e-22
0.4	1.001696139564793e-20	0.48348915477470655	7.474695963054322e-21
0.6	3.3275730010385155e-19	0.48348915477470644	2.4830480517212793e-19
0.8	1.1053991771446622e-17	0.4834891555006539	8.248532111148533e-18
1.0	3.6720684798011355e-16	0.4834891552582195	2.7401119310304435e-16
1.2	1.2198381199777491e-14	0.4834891556176508	9.102480065995539e-15
1.4	4.052231695212703e-13	0.4834891551830207	3.023791166308828e-13
1.6	1.3461275705170003e-11	0.4834891549939177	1.0044856536539891e-11
1.8	4.4717537673217785e-10	0.48348915559141226	3.336840108915313e-10
2.0	1.4854831792646395e-8	0.4834891559630305	1.1084734620157556e-8
2.2	4.934485760855448e-7	0.483489122257412	3.6821399937939086e-7
2.4	1.636989969249879e-5	0.48348805420292273	1.221608532430742e-5
2.6	0.0005187316945582438	0.48345444186369557	0.0003879457987375722
2.8	0.008499790002712861	0.4828863385924392	0.006698898426353734
3.0	0.04706918590806037	0.4803144814830952	0.04298122904071133
3.2	0.15522144061709103	0.4736508615317104	0.15504025114278278
3.4	0.2986803530197429	0.4645248279261471	0.3093245110440972
3.6	0.4450257895104395	0.45526281832027976	0.4672750869115595
3.8	0.5435178216656978	0.4487531780707282	0.5724301810392418
4.0	0.604904881987234	0.4454371508880194	0.6303039175634131
4.2	0.8134058759271628	0.43758488251835453	0.7792469371039231
4.4	0.9599668730289432	0.4319995804427412	0.8827492853218336
4.6	0.9983610774739293	0.43068682330675795	0.9098434759911819
4.8	0.9999499784176196	0.43064062488223265	0.9109647017525071
5.0	0.9999984935664895	0.4306392470830815	0.9109989369696347
5.2	0.9999999546513908	0.43063920600626066	0.9109999679992855
5.4	0.9999999986348749	0.43063920228300456	0.9109999990366847
5.6	0.9999999999589058	0.4306392028726421	0.9109999999710016
5.8	0.9999999999987624	0.43063920170918774	0.9109999999991271
6.0	0.9999999999999633	0.4306392019118666	0.9109999999999738
6.2	0.9999999999999984	0.43063920329180805	0.9109999999999993
6.4	1.0000000000000004	0.4306392025215119	0.9109999999999999
6.6	1.0000000000000002	0.4306392025588562	0.9110000000000006
6.8	0.9999999999999999	0.4306392030237548	0.9109999999999996
7.0	1.0000000000000007	0.4306392024322409	0.9109999999999999
7.2	1.0	0.4306392032786611	0.9110000000000001
7.4	0.9999999999999992	0.43063920304370296	0.9109999999999999
7.6	1.0000000000000009	0.43063920297825053	0.9110000000000004
7.8	1.0000000000000002	0.43063920254361443	0.911
8.0	1.0000000000000002	0.43063920251691573	0.9109999999999996
8.2	0.9999999999999999	0.4306392033785085	0.9110000000000006
8.4	1.0000000000000004	0.43063920224997726	0.911
8.6	1.0000000000000007	0.43063920312317494	0.9109999999999997
8.8	0.9999999999999998	0.43063920191982097	0.9110000000000001
9.0	1.0000000000000002	0.4306392021930537	0.9110000000000005
9.2	0.9999999999999994	0.4306392033026223	0.9109999999999998
9.4	1.0000000000000002	0.43063920238096187	0.9110000000000003
9.6	1.0000000000000002	0.4306392020872825	0.911
9.8	1.0	0.4306392014049779	0.9109999999999999
10.0	1.0000000000000002	0.4306392024228702	0.9109999999999999
10.2	1.0000000000000004	0.43063920328812016	0.9109999999999997
10.4	0.999999999999999	0.4306392026969219	0.911
10.6	1.0	0.43063920250703186	0.9109999999999996
10.8	0.9999999999999997	0.43063920278902224	0.9109999999999998
11.0	1.0000000000000002	0.4306392032241266	0.9109999999999999
11.2	0.9999999999999999	0.43063920310115456	0.9109999999999999
11.4	1.0000000000000007	0.430639202524981	0.9109999999999994
11.6	1.0000000000000004	0.4306392024317791	0.9109999999999998
11.8	1.0000000000000002	0.43063920309668224	0.9109999999999999
12.0	0.9999999999999997	0.43063920363830205	0.9109999999999993
12.5	0.9999999999999996	0.43063920308268855	0.9110000000000003
13.0	0.9999999999999998	0.43063920253822346	0.911
13.5	0.9999999999999998	0.4306392039233821	0.9109999999999997
14.0	1.0000000000000004	0.43063920337944844	0.9109999999999998
14.5	1.0000000000000002	0.43063920180009646	0.9110000000000001
15.0	0.9999999999999998	0.4306392034317436	0.9110000000000003
15.5	0.9999999999999997	0.4306392022319103	0.9110000000000003
16.0	1.0000000000000004	0.4306392026211248	0.9109999999999998
17.0	1.0000000000000004	0.4306392018400622	0.9110000000000001
18.0	1.0000000000000002	0.4306392030444862	0.9109999999999997
19.0	1.0	0.43063920288518376	0.9110000000000001
20.0	0.9999999999999998	0.43063920166503167	0.9110000000000001
21.0	1.0000000000000002	0.43063920172762565	0.9109999999999994
22.0	1.0000000000000002	0.4306392011422722	0.9109999999999998
23.0	0.9999999999999997	0.4306392015125352	0.9109999999999996
24.0	0.9999999999999999	0.4306392010954504	0.9110000000000001
25.0	1.0000000000000002	0.4306392017838959	0.9109999999999997
26.0	1.0000000000000002	0.43063920148400264	0.911
27.0	0.9999999999999999	0.43063920213137413	0.9109999999999994
28.0	0.9999999999999998	0.43063920044607873	0.911
29.0	1.0000000000000009	0.43063920099334363	0.911
30.0	1.0000000000000004	0.43063920150135726	0.9110000000000001
