u	r	minc
0.0	1.0065663049983187e-32	0.4190757945982414
0.2	3.343751391238019e-31	0.41907579459824146
0.4	1.1107736580170632e-29	0.41907579459824146
0.6	3.689921812305122e-28	0.4190757945982414
0.8	1.2257693439750882e-26	0.4190757945982416
1.0	4.071930412235057e-25	0.4190757945982416
1.2	1.3526702526517564e-23	0.4190757945982416
1.4	4.493485909378413e-22	0.41907579514300547
1.6	1.492708780922548e-20	0.41907579512803844
1.8	4.958685503822805e-19	0.4190757956787327
2.0	1.6472449430371653e-17	0.41907579555154423
2.2	5.472046823982617e-16	0.4190757953920109
2.4	1.8177823747174556e-14	0.4190757952291496
2.6	6.03855481542539e-13	0.41907579470561573
2.8	2.0059812394397084e-11	0.41907579473555606
3.0	6.663707538408995e-10	0.41907579553320506
3.2	2.2136493195666922e-8	0.4190757942457579
3.4	7.353663044492889e-7	0.41907575464300784
3.6	2.44347153005491e-5	0.419074446726738
3.8	0.000784872524271631	0.41903512421385514
4.0	0.009357560250712906	0.41884416818380005
4.2	0.03103969856026851	0.41795880674939156
4.4	0.07946124712741463	0.415646210846077
4.6	0.155129160967291	0.4123298841297127
4.8	0.24260327585776967	0.40854612724685735
5.0	0.3377220174181679	0.4045679975952461
5.2	0.42911366970257736	0.40080930823963695
5.4	0.502886578006727	0.3973184987280489
5.6	0.5613056762962292	0.39517408738208026
5.8	0.5981778650485787	0.3937745657964756
6.0	0.8043519232017419	0.38746030739568804
6.2	0.8987308562243924	0.3847385355269696
6.4	0.9903528376086553	0.3820281095536412
6.6	0.9996784593092811	0.38170623469163206
6.8	0.999990288969099	0.38169546010800914
7.0	0.999999707640897	0.3816951349229411
7.2	0.999999991199115	0.3816951254434233
7.4	0.9999999997350675	0.38169512523035515
7.6	0.9999999999920252	0.38169512375299625
7.8	0.9999999999997594	0.381695123949678
8.0	0.9999999999999925	0.3816951244983938
8.2	1.0000000000000002	0.38169512532059785
8.4	1.0000000000000002	0.3816951254421967
8.6	1.0000000000000002	0.381695123590428
8.8	0.9999999999999996	0.38169512543916173
9.0	0.9999999999999994	0.38169512372830905
9.2	0.9999999999999999	0.381695124522664
9.4	1.0000000000000002	0.38169512561240837
9.6	0.9999999999999992	0.3816951237321128
9.8	1.0000000000000004	0.38169512559251567
10.0	0.9999999999999996	0.38169512365027586
10.2	1.0	0.38169512435978953
10.4	0.9999999999999998	0.3816951251465998
10.6	1.0000000000000002	0.3816951235135228
10.8	0.9999999999999999	0.3816951241968705
11.0	1.0000000000000007	0.38169512379361364
11.2	0.9999999999999994	0.38169512431458774
11.4	1.0000000000000002	0.3816951236983973
11.6	1.0	0.38169512244294573
11.8	0.9999999999999999	0.38169512426476315
12.0	1.0000000000000002	0.3816951227174117
12.5	0.9999999999999994	0.38169512448139986
13.0	1.0	0.38169512292210467
13.5	0.9999999999999997	0.38169512315775767
14.0	0.9999999999999999	0.3816951227578025
14.5	1.0000000000000002	0.3816951223040776
15.0	1.0	0.38169512417889884
15.5	1.0000000000000004	0.38169512290944607
16.0	1.0000000000000004	0.3816951238830695
17.0	0.9999999999999997	0.3816951238471389
18.0	1.0000000000000002	0.3816951236988866
19.0	1.0	0.3816951233801949
20.0	1.0	0.38169512446133325
21.0	1.0000000000000004	0.3816951241735517
22.0	1.0000000000000002	0.3816951235418874
23.0	0.9999999999999999	0.38169512333083194
24.0	1.0	0.3816951231796801
25.0	1.0000000000000004	0.38169512370112835
26.0	0.9999999999999996	0.3816951225804787
27.0	1.0000000000000002	0.38169512172977144
28.0	0.9999999999999997	0.38169512269291145
29.0	0.9999999999999993	0.38169512171054315
30.0	1.0000000000000002	0.381695121917293
