u	r	minc
0.0	2.649034588458011e-30	0.47807920872548476
0.2	8.79993006581774e-29	0.47807920872548476
0.4	2.9232826744009772e-27	0.47807920872548476
0.6	9.710965349199487e-26	0.47807920872548476
0.8	3.2259229953757097e-24	0.4780792087254848
1.0	1.07163178920762e-22	0.4780792087254848
1.2	3.559894930181438e-21	0.4780792087254848
1.4	1.1825754372214512e-19	0.4780792078745455
1.6	3.928442425583247e-18	0.47807920849679536
1.8	1.30500441904912e-16	0.47807920827638806
2.0	4.3351445105094445e-15	0.47807920803870724
2.2	1.440109016120687e-13	0.47807920800192644
2.4	4.783937676149343e-12	0.4780792095879471
2.6	1.589201483679174e-10	0.47807920837224227
2.8	5.279233379699077e-9	0.47807920878155274
3.0	1.7537372838019297e-7	0.4780791973219486
3.2	5.828120208039678e-6	0.47807880154430804
3.4	0.00019519131908252009	0.47806600797804294
3.6	0.004819107617951453	0.47782845507399385
3.8	0.02212490190433081	0.4769198333644654
4.0	0.0673523339819829	0.47454866616447255
4.2	0.14555919945346452	0.4705930897836558
4.4	0.2394653559883917	0.46593407262697095
4.6	0.33715236048488745	0.4611057678908998
4.8	0.43220649226826685	0.45642332376181177
5.0	0.5136208481075757	0.45242007439176835
5.2	0.565795334313517	0.4498932100095923
5.4	0.7372399178007232	0.4433961351294585
5.6	0.8352000566952645	0.4397682045456862
5.8	0.9562140944141876	0.4354378642698619
6.0	0.9977853663529197	0.43393142043216243
6.2	0.9999317808447614	0.43385469210065514
6.4	0.9999979449615846	0.433852326976008
6.6	0.9999999381360519	0.4338522533133734
6.8	0.9999999981377152	0.4338522511506958
7.0	0.9999999999439404	0.4338522508697782
7.2	0.9999999999983122	0.43385225146516065
7.4	0.9999999999999488	0.4338522519859159
7.6	0.999999999999999	0.43385225271503014
7.8	1.0000000000000004	0.43385225311017206
8.0	0.9999999999999999	0.4338522519642238
8.2	0.9999999999999999	0.4338522529787914
8.4	1.0000000000000004	0.43385225275863337
8.6	0.9999999999999999	0.433852252086076
8.8	1.0000000000000002	0.43385225177186637
9.0	1.0000000000000002	0.43385225240628134
9.2	0.9999999999999997	0.433852252160276
9.4	1.0000000000000004	0.43385225329284355
9.6	1.0000000000000007	0.4338522516467177
9.8	0.9999999999999994	0.4338522522800413
10.0	1.0000000000000004	0.433852252470628
10.2	1.0	0.4338522509772243
10.4	1.0	0.43385225182932435
10.6	1.0000000000000002	0.4338522527649147
10.8	1.0000000000000009	0.4338522519463292
11.0	1.0000000000000004	0.43385225230992197
11.2	1.0000000000000009	0.4338522513857782
11.4	1.0000000000000002	0.4338522515566606
11.6	1.0000000000000004	0.43385225177799686
11.8	1.0000000000000004	0.43385225124719606
12.0	1.0000000000000004	0.43385225293623647
12.5	1.0000000000000002	0.4338522522242714
13.0	0.9999999999999997	0.43385225250014603
13.5	1.0000000000000007	0.4338522519034528
14.0	1.0	0.43385225343200573
14.5	1.0000000000000004	0.43385225229505664
15.0	0.9999999999999999	0.43385225277109934
15.5	0.9999999999999996	0.4338522529046179
16.0	1.0000000000000002	0.43385225253364057
17.0	0.9999999999999999	0.4338522534212644
18.0	0.9999999999999999	0.4338522528080531
19.0	0.9999999999999998	0.4338522525390198
20.0	1.0000000000000007	0.4338522530761651
21.0	1.0	0.4338522519928224
22.0	0.9999999999999998	0.4338522513007814
23.0	0.9999999999999997	0.43385225129300103
24.0	1.0000000000000009	0.43385225081936
25.0	1.0000000000000002	0.4338522505754781
26.0	1.0	0.433852252044015
27.0	1.0	0.43385225091580476
28.0	1.0000000000000009	0.43385225009803924
29.0	0.9999999999999996	0.43385224903055697
30.0	1.0000000000000002	0.43385224917096166
