u	r	minc
0.0	1.767089082823211e-30	0.4781002667042286
0.2	5.870161309583663e-29	0.4781002667042286
0.4	1.9500315029662436e-27	0.4781002667042286
0.6	6.477884783766887e-26	0.4781002667042286
0.8	2.151913505393433e-24	0.4781002667042287
1.0	7.148524386076337e-23	0.4781002667042286
1.2	2.3746958588329206e-21	0.4781002667042287
1.4	7.888593761971224e-20	0.47810026662716376
1.6	2.6205429259336634e-18	0.47810026289600993
1.8	8.705282239725072e-17	0.4781002629638093
2.0	2.891841153472182e-15	0.4781002630793545
2.2	9.606518912776014e-14	0.4781002629098864
2.4	3.1912259511665666e-12	0.4781002645485421
2.6	1.0601061281979675e-10	0.4781002636245914
2.8	3.5216054782293814e-9	0.47810026447811016
3.0	1.1698433963534043e-7	0.47810025900272934
3.2	3.884816651900983e-6	0.47810006929310234
3.4	0.0001276031737187495	0.47809368752719567
3.6	0.006457027299986418	0.4778974547747661
3.8	0.02497983308899444	0.476917700074458
4.0	0.07431840799665283	0.47436824895356927
4.2	0.13207959167334427	0.4701781851793543
4.4	0.2493342317534475	0.4659390177964153
4.6	0.34065314974405264	0.46098276717100056
4.8	0.40599068502879565	0.45603988819774594
5.0	0.5228375386411998	0.4529683604805343
5.2	0.5650305507100492	0.45058368316302366
5.4	0.6203110223976805	0.4481213957933026
5.6	0.8404542329792951	0.43982962253160174
5.8	0.9587419600145867	0.4354944969254343
6.0	0.9980643769350743	0.43405502959818476
6.2	0.9999406169252251	0.4339859482859204
6.4	0.9999982113656694	0.43398382579048617
6.6	0.9999999461559662	0.43398376044906734
6.8	0.9999999983791377	0.4339837597463322
7.0	0.999999999951207	0.43398375937164335
7.2	0.9999999999985314	0.43398375955809637
7.4	0.9999999999999561	0.4339837579590317
7.6	0.9999999999999984	0.4339837598264201
7.8	0.9999999999999999	0.4339837588123008
8.0	1.0000000000000007	0.43398375905831726
8.2	1.0	0.43398375989085614
8.4	1.0000000000000002	0.4339837593440551
8.6	1.0	0.43398375842375225
8.8	1.0000000000000004	0.43398375889261714
9.0	0.9999999999999998	0.43398376003355515
9.2	0.9999999999999991	0.43398375900507463
9.4	1.0	0.43398376107348885
9.6	1.0000000000000002	0.43398375996954186
9.8	0.9999999999999998	0.4339837588816431
10.0	0.9999999999999998	0.4339837581413643
10.2	0.9999999999999998	0.433983758583227
10.4	1.0000000000000002	0.43398375948291623
10.6	0.9999999999999996	0.4339837564487056
10.8	1.0000000000000004	0.433983757011671
11.0	1.0000000000000004	0.4339837596776007
11.2	1.0000000000000004	0.4339837603684055
11.4	1.0000000000000004	0.4339837578995971
11.6	0.9999999999999998	0.4339837596813535
11.8	1.0000000000000007	0.4339837573731701
12.0	1.0000000000000009	0.43398375838169134
12.5	0.9999999999999997	0.4339837597450449
13.0	0.9999999999999997	0.43398375954876434
13.5	1.0000000000000002	0.4339837585028812
14.0	1.0	0.4339837597946841
14.5	1.0000000000000004	0.4339837575557609
15.0	1.0000000000000002	0.43398375776992976
15.5	0.9999999999999998	0.4339837575544043
16.0	1.0000000000000002	0.43398376007674755
17.0	0.9999999999999999	0.43398376038942
18.0	0.9999999999999999	0.4339837598314292
19.0	0.9999999999999997	0.4339837583109624
20.0	0.9999999999999994	0.433983758286551
21.0	1.0	0.4339837576892454
22.0	1.0000000000000004	0.43398375726913885
23.0	1.0000000000000007	0.43398375813830825
24.0	1.0000000000000002	0.43398375725617794
25.0	0.9999999999999996	0.4339837574984008
26.0	0.9999999999999999	0.4339837570287841
27.0	0.9999999999999993	0.43398375789636423
28.0	1.0	0.43398375681183426
29.0	0.9999999999999992	0.4339837564543428
30.0	0.9999999999999997	0.43398375753745655
