u	r	minc
0.0	3.0545399995833977e-29	0.4199333493420444
0.2	1.0146994115020208e-27	0.4199333493420444
0.4	3.3707690710971475e-26	0.4199333493420444
0.6	1.1197487651882774e-24	0.4199333493420445
0.8	3.719736566623699e-23	0.4199333493420446
1.0	1.2356736220875728e-21	0.41993334934204435
1.2	4.104831815305294e-20	0.41993334934204457
1.4	1.3636008995509778e-18	0.4199333491461537
1.6	4.529798270484955e-17	0.4199333493645536
1.8	1.5047705092753503e-15	0.41993334970439855
2.0	4.998757413204498e-14	0.4199333491975613
2.2	1.6605542994667342e-12	0.41993334975720586
2.4	5.516245437666838e-11	0.41993334991479414
2.6	1.8323814821546142e-9	0.41993334941989474
2.8	6.078050683771144e-8	0.4199333459272549
3.0	1.928954440760845e-6	0.41993323993071197
3.2	3.6459332659897e-5	0.41993132325281535
3.4	0.00029853190463596937	0.4199255635578255
3.6	0.002012224654000364	0.41983920613392
3.8	0.009214580702797397	0.4195397031826182
4.0	0.027120480911203955	0.4188611066829797
4.2	0.056743255014372114	0.4175775983574799
4.4	0.09667975834969286	0.4157644591443777
4.6	0.15071783765355087	0.41350947249637576
4.8	0.20505907296191678	0.4110174817765854
5.0	0.2661528092726845	0.4084382250819106
5.2	0.420390278093566	0.4022381997388621
5.4	0.5328529009534057	0.3978609569431995
5.6	0.6455790215488393	0.3935774527471308
5.8	0.7432531452175388	0.38989429357980077
6.0	0.7735900617726018	0.3887265879753632
6.2	0.8587169372931869	0.3858928296104518
6.4	0.9247135020270413	0.38416627605585413
6.6	0.9900606807862825	0.3827506386460775
6.8	0.999659476923646	0.38253931475719377
7.0	0.9999897058252858	0.38253206101055354
7.2	0.9999996900758582	0.38253184147335373
7.4	0.999999990670348	0.38253183453816897
7.6	0.9999999997191507	0.3825318349877278
7.8	0.9999999999915447	0.38253183454411477
8.0	0.9999999999997454	0.3825318346196716
8.2	0.9999999999999925	0.38253183444354405
8.4	1.0000000000000009	0.38253183486247044
8.6	1.0000000000000002	0.3825318342140666
8.8	1.0000000000000007	0.3825318343294576
9.0	0.999999999999999	0.38253183524102724
9.2	0.9999999999999997	0.382531834421267
9.4	0.9999999999999998	0.38253183456211587
9.6	1.0000000000000004	0.382531833644848
9.8	0.9999999999999996	0.3825318349068074
10.0	0.999999999999999	0.3825318343280961
10.2	0.9999999999999992	0.3825318342636866
10.4	1.0	0.3825318338096521
10.6	1.0000000000000002	0.38253183391889917
10.8	1.0000000000000009	0.3825318341255511
11.0	1.0000000000000009	0.3825318338965933
11.2	1.0000000000000004	0.3825318336422468
11.4	1.0	0.38253183410770625
11.6	0.9999999999999991	0.38253183345801933
11.8	1.000000000000001	0.3825318340135082
12.0	0.9999999999999999	0.38253183378537386
12.5	1.0000000000000007	0.38253183303467614
13.0	1.0	0.3825318332951556
13.5	0.9999999999999996	0.38253183345948477
14.0	0.9999999999999998	0.38253183314418865
14.5	1.0000000000000002	0.3825318335307737
15.0	0.9999999999999998	0.3825318330314643
15.5	0.9999999999999991	0.3825318330439259
16.0	0.999999999999999	0.38253183365073373
17.0	0.9999999999999996	0.3825318333977288
18.0	1.0000000000000004	0.3825318336390282
19.0	1.0	0.3825318334811618
20.0	1.0000000000000007	0.38253183345286285
21.0	1.0	0.3825318335980419
22.0	1.0000000000000007	0.38253183326273443
23.0	0.9999999999999992	0.3825318333066579
24.0	1.0000000000000004	0.3825318333995141
25.0	1.0000000000000004	0.3825318328007208
26.0	1.0	0.3825318328310401
27.0	0.999999999999999	0.3825318325306991
28.0	0.9999999999999999	0.382531832682562
29.0	1.0000000000000002	0.38253183234617566
30.0	0.9999999999999984	0.38253183238633687
