u	r	minc	pbase
0.0	5.011090856642513e-26	0.43075031114131684	3.168222693746482e-26
0.2	1.6646535792322526e-24	0.4307503111413169	1.0524641036909734e-24
0.4	5.52987686339816e-23	0.4307503111413169	3.4962210571414017e-23
0.6	1.8369911016830988e-21	0.4307503111413169	1.1614231437946925e-21
0.8	6.102371519334953e-20	0.4307503111413169	3.8581762906175964e-20
1.0	2.0271699110343782e-18	0.43075030934160013	1.2816621936965546e-18
1.2	6.734137583397368e-17	0.4307503087761896	4.2576053337885186e-17
1.4	2.237038693379549e-15	0.4307503091797292	1.4143500601533277e-15
1.6	7.431306017593891e-14	0.4307503088566005	4.6983845593843087e-14
1.8	2.4686326061394295e-12	0.43075031287362026	1.5607735354250128e-12
2.0	8.200650821644738e-11	0.43075031173884837	5.1847968585909726e-11
2.2	2.7242059164975995e-9	0.43075030821070764	1.722357698746373e-9
2.4	9.049554622196494e-8	0.43075030567455497	5.7215127611032387e-8
2.6	3.005219736553276e-6	0.4307501628669647	1.9000623137626441e-6
2.8	9.875993088734447e-5	0.43074544745695115	6.247912989161878e-5
3.0	0.002881447689886356	0.4306070261394027	0.0018388518704639375
3.2	0.023651785780675706	0.42951616897415057	0.017340691444222765
3.4	0.07666418771083595	0.42591544338256626	0.06043765548452022
3.6	0.1872361971299583	0.42011902393453454	0.159229589723922
3.8	0.3386626278080542	0.4124731600925557	0.29595909897558087
4.0	0.44589239923188007	0.4057785750018611	0.39343052802341916
4.2	0.5600706511304149	0.40069917118254456	0.4949698274122968
4.4	0.5998853250822103	0.39845127001274216	0.5265357552346707
4.6	0.7845993868787665	0.389687205313592	0.6373080775290041
4.8	0.9260141664036707	0.3835330890474348	0.7211598853046697
5.0	0.9953709910930522	0.3803778200111389	0.762257169957078
5.2	0.9998543947230283	0.38017385606388204	0.764913724499661
5.4	0.9999956108728972	0.38016743561969546	0.7649973993104426
5.6	0.9999998678690971	0.3801672428443502	0.7649999217084741
5.8	0.9999999960224714	0.38016723682023806	0.7649999976431947
6.0	0.9999999998802654	0.38016723392049984	0.7649999999290532
6.2	0.9999999999963953	0.38016723184728207	0.7649999999978643
6.4	0.9999999999998909	0.3801672341359669	0.7649999999999358
6.6	0.9999999999999959	0.3801672310735347	0.7649999999999976
6.8	0.9999999999999999	0.3801672333608823	0.7649999999999999
7.0	1.0000000000000002	0.3801672332627665	0.765
7.2	1.0000000000000002	0.3801672330581742	0.7649999999999996
7.4	1.0	0.380167240419809	0.765
7.6	0.9999999999999998	0.3801672367495289	0.7649999999999997
7.8	0.9999999999999996	0.3801672362327032	0.7649999999999998
8.0	1.0000000000000002	0.380167236102899	0.7649999999999998
8.2	0.9999999999999999	0.3801672356487349	0.7649999999999997
8.4	1.0000000000000007	0.38016723260415186	0.765
8.6	1.0	0.38016723251280876	0.7649999999999996
8.8	1.0000000000000002	0.3801672365048756	0.7649999999999997
9.0	0.9999999999999996	0.38016723342990877	0.7649999999999995
9.2	0.9999999999999997	0.38016723490197635	0.7649999999999998
9.4	1.0000000000000002	0.38016723919522727	0.7650000000000001
9.6	0.9999999999999998	0.38016723703013405	0.765
9.8	1.0	0.38016723788763745	0.7649999999999998
10.0	0.9999999999999999	0.38016723568692556	0.765
10.2	1.0	0.3801672320519027	0.7650000000000003
10.4	1.0000000000000004	0.38016723084106074	0.765
10.6	0.9999999999999993	0.3801672305424601	0.7649999999999996
10.8	0.9999999999999998	0.38016723500022515	0.7650000000000003
11.0	0.9999999999999996	0.38016723450795137	0.7650000000000003
11.2	1.0	0.3801672334024682	0.7649999999999999
11.4	1.0000000000000002	0.3801672332060248	0.7650000000000002
11.6	1.0000000000000002	0.38016723149173726	0.7649999999999999
11.8	1.0000000000000007	0.38016723387019064	0.7649999999999996
12.0	1.0000000000000004	0.3801672357128707	0.7649999999999992
12.5	0.9999999999999996	0.3801672313779824	0.7649999999999996
13.0	1.0000000000000004	0.3801672355058021	0.7650000000000001
13.5	0.9999999999999996	0.3801672300261008	0.765
14.0	0.9999999999999996	0.38016723278488224	0.7650000000000002
14.5	0.9999999999999994	0.3801672308245253	0.765
15.0	0.9999999999999997	0.380167234116493	0.7649999999999997
15.5	0.9999999999999998	0.38016723415799736	0.7650000000000001
16.0	1.0	0.3801672320168237	0.7649999999999997
17.0	1.0000000000000002	0.38016723187508045	0.7649999999999996
18.0	0.9999999999999997	0.3801672351458628	0.7649999999999997
19.0	1.0	0.3801672320556233	0.765
20.0	0.9999999999999999	0.3801672327635631	0.7649999999999998
21.0	1.0000000000000004	0.3801672331352767	0.7649999999999999
22.0	1.0	0.3801672298153558	0.7649999999999998
23.0	0.9999999999999997	0.3801672336461562	0.7649999999999997
24.0	0.9999999999999997	0.38016723330973107	0.7649999999999999
25.0	1.0	0.3801672330568684	0.7649999999999997
26.0	0.9999999999999994	0.38016723058812313	0.765
27.0	1.0000000000000004	0.38016723103435013	0.765
28.0	0.9999999999999999	0.38016723204103864	0.7649999999999995
29.0	1.0000000000000004	0.38016723015326687	0.7650000000000002
30.0	0.9999999999999998	0.38016723148385684	0.7649999999999999
